gene_id,Rep1._x,Rep2._x,Rep3._x,Rep1._y,Rep2._y,Rep3._y
ENSMUSG00000002332,1158.0,1379.0,1120.0,1543.0,1497.0,979.0
ENSMUSG00000002342,148.0,212.0,149.0,178.0,160.0,79.0
ENSMUSG00000002343,38.7,62.58,39.82,50.0,46.36,31.66
ENSMUSG00000002345,71.0,142.0,107.0,115.0,111.0,76.0
ENSMUSG00000002346,1223.93,1269.99,849.27,1088.3,764.8,612.49
ENSMUSG00000002365,545.0,494.0,414.0,485.0,391.0,392.0
ENSMUSG00000002372,207.0,304.0,253.0,317.0,261.0,162.0
ENSMUSG00000002379,365.46,425.0,340.92,374.17,405.8,187.99
ENSMUSG00000002393,262.66,436.62,418.86,487.95,401.77,198.76
ENSMUSG00000002395,239.0,352.0,286.0,334.0,340.0,181.0
ENSMUSG00000002396,144.34,212.38,161.14,152.05,123.23,88.24
ENSMUSG00000002409,67.0,114.0,98.0,98.0,94.0,44.0
ENSMUSG00000002413,420.15,409.85,405.0,247.59,295.0,268.79
ENSMUSG00000002416,234.5,287.15,247.0,256.41,280.81,159.16
ENSMUSG00000002428,266.0,209.0,196.0,188.0,233.0,155.0
ENSMUSG00000002455,732.0,711.0,665.0,641.0,777.0,394.0
ENSMUSG00000002458,24.0,29.0,26.0,31.0,17.0,15.0
ENSMUSG00000002475,678.0,627.0,536.0,526.0,515.0,426.0
ENSMUSG00000002477,102.0,103.0,108.0,90.0,107.3,113.56
ENSMUSG00000002486,17.0,10.0,15.0,23.0,20.0,9.0
ENSMUSG00000002489,18.0,12.0,22.0,29.0,27.0,19.0
ENSMUSG00000002496,583.28,681.16,520.06,504.96,546.22,363.78
ENSMUSG00000002504,133.0,253.0,165.0,209.0,188.0,105.0
ENSMUSG00000002524,442.0,612.0,483.0,558.0,474.0,280.0
ENSMUSG00000002546,374.0,452.0,343.0,435.49,469.0,279.0
ENSMUSG00000002550,346.0,361.0,306.0,394.0,307.0,316.0
ENSMUSG00000002578,6.0,2.0,12.0,7.0,10.0,8.0
ENSMUSG00000002580,297.15,330.32,286.25,370.0,305.63,215.63
ENSMUSG00000002588,10964.0,8807.0,7663.0,6368.0,6811.0,5150.0
ENSMUSG00000002602,300.0,372.0,249.0,304.0,290.0,211.0
ENSMUSG00000002603,53.0,110.0,97.0,108.0,106.0,59.0
ENSMUSG00000002608,188.0,266.0,211.0,224.0,267.0,126.0
ENSMUSG00000002617,29.0,13.0,12.0,18.0,11.0,27.0
ENSMUSG00000002625,235.0,310.0,196.0,233.0,191.0,145.0
ENSMUSG00000002635,75.0,83.0,67.0,58.0,83.0,55.0
ENSMUSG00000002658,150.0,217.0,169.0,198.0,225.0,103.0
ENSMUSG00000002660,334.0,423.0,358.0,406.0,347.0,165.0
ENSMUSG00000002661,62.0,53.0,71.0,52.0,63.0,35.0
ENSMUSG00000002668,39.0,40.0,23.0,37.0,26.0,29.0
ENSMUSG00000002679,80.0,90.0,84.0,55.0,76.0,57.0
ENSMUSG00000002699,100.0,99.0,92.0,96.0,78.0,60.0
ENSMUSG00000002718,625.0,514.0,452.0,432.0,560.0,398.0
ENSMUSG00000002728,132.0,123.0,117.46,126.0,141.0,107.0
ENSMUSG00000002731,188.0,155.0,138.0,148.0,188.0,141.0
ENSMUSG00000002732,26.0,14.0,23.0,35.0,28.0,21.0
